M,S,1,49
L,B,2,10011,14
L,S,3,10001,28
L,B,4,10007,38
L,B,5,9992,42
C,5
M,B,7,2
L,B,8,10004,44
L,S,9,9997,27
L,B,10,10007,8
L,S,11,9996,33
L,S,12,10004,33
L,B,13,9995,48
L,B,14,10014,48
C,14
C,4
L,B,17,10009,2
C,17
L,B,19,9999,50
L,S,20,10009,26
L,S,21,9998,36
L,B,22,9997,48
L,S,23,9998,31
L,B,24,10010,27
L,B,25,10002,40
L,B,26,10005,41
L,B,27,10002,17
L,S,28,10006,2
C,12
L,S,30,10004,11
L,B,31,9998,42
L,S,32,10001,25
L,B,33,10002,17
L,B,34,10013,15
L,B,35,10010,29
L,B,36,9999,45
L,S,37,9988,26
L,B,38,10008,9
L,B,39,10011,5
L,B,40,10001,1
L,B,41,10004,14
L,S,42,10018,33
L,B,43,10014,37
L,S,44,9993,19
L,B,45,10013,26
C,19
L,S,47,10013,44
L,S,48,10013,44
L,S,49,10008,9
M,S,50,18
L,S,51,10019,22
C,22
L,S,53,10004,7
C,8
L,S,55,10013,9
C,45
C,43
L,S,58,10007,8
L,B,59,10002,19
L,B,60,10022,3
L,S,61,10013,11
L,S,62,10013,25
L,B,63,9995,46
L,B,64,10010,19
L,B,65,10006,26
C,27
L,B,67,10007,45
L,B,68,10000,14
M,B,69,53
C,62
C,44
L,B,72,10006,21
L,B,73,10009,7
L,S,74,10018,16
C,43
L,B,76,10005,19
L,S,77,10017,21
L,S,78,10013,50
L,S,79,10008,39
C,20
L,S,81,10013,21
L,S,82,10016,14
L,S,83,9995,46
L,S,84,10005,36
L,S,85,10002,1
L,B,86,10020,37
C,59
C,23
L,S,89,10008,37
M,B,90,32
M,B,91,58
L,S,92,10003,32
L,B,93,10011,22
L,S,94,9997,4
L,S,95,9992,11
L,S,96,10008,36
M,S,97,30
C,22
L,S,99,10018,10
L,S,100,10009,44
L,B,101,10024,11
L,B,102,10002,7
L,B,103,10011,50
L,S,104,10009,25
L,S,105,10006,9
L,S,106,10020,8
L,B,107,10011,36
L,S,108,10014,16
M,B,109,35
L,S,110,10012,44
L,S,111,10021,27
L,S,112,10011,14
L,S,113,10017,35
L,S,114,10015,9
L,S,115,10007,49
L,B,116,10007,29
L,B,117,10010,8
L,B,118,10024,1
L,S,119,10011,30
L,B,120,10027,46
L,B,121,10017,1
L,B,122,10019,22
L,S,123,10025,48
L,S,124,10011,2
L,B,125,10013,12
L,S,126,10007,17
L,S,127,10012,32
L,B,128,10008,7
L,B,129,10007,33
L,S,130,10019,41
L,B,131,10021,18
C,86
L,S,133,10019,4
L,S,134,10023,40
L,S,135,10015,31
L,B,136,10016,16
C,105
L,B,138,10004,16
M,S,139,11
L,S,140,10017,30
M,S,141,58
L,B,142,10030,16
L,S,143,10019,21
L,S,144,10020,4
C,123
L,B,146,10032,29
L,B,147,10023,45
C,65
L,B,149,10019,19
L,B,150,10014,46
L,S,151,10033,1
L,B,152,10029,38
L,B,153,10007,2
L,S,154,10009,4
L,B,155,10027,3
C,135
C,43
L,B,158,10013,41
L,S,159,10020,22
L,B,160,10026,16
C,152
M,B,162,45
L,S,163,10025,13
L,B,164,10024,5
L,S,165,10019,7
C,67
L,B,167,10015,33
L,B,168,10016,29
C,128
L,B,170,10019,34
C,110
L,S,172,10026,9
L,S,173,10023,44
C,82
L,B,175,10027,31
C,146
L,S,177,10033,38
L,B,178,10002,11
L,S,179,10015,27
C,23
L,S,181,10011,23
L,S,182,10019,1
C,107
L,B,184,10004,30
L,S,185,10032,6
L,B,186,10030,16
L,B,187,10027,42
L,B,188,10013,2
L,B,189,10021,8
L,S,190,10013,44
L,B,191,10026,41
L,B,192,10012,12
L,B,193,10016,32
L,B,194,10020,28
L,S,195,10029,31
C,85
M,S,197,50
L,B,198,10039,38
L,B,199,10018,1
L,S,200,10023,20
L,S,201,10023,35
L,S,202,10022,34
L,S,203,10026,20
L,S,204,10006,17
C,136
L,B,206,10033,26
L,S,207,10018,1
L,B,208,10044,24
L,B,209,10029,31
M,B,210,12
L,B,211,10026,19
L,S,212,10029,22
M,S,213,26
L,B,214,10038,10
L,B,215,10020,26
L,S,216,10037,28
L,B,217,10027,42
L,S,218,10040,43
C,89
L,B,220,10032,14
L,S,221,10017,43
L,S,222,10038,31
M,S,223,45
M,B,224,48
L,B,225,10036,35
L,S,226,10036,47
L,S,227,10032,18
L,B,228,10029,33
L,B,229,10042,9
M,S,230,39
L,S,231,10033,31
L,B,232,10026,24
L,B,233,10036,45
L,B,234,10033,34
C,72
L,B,236,10025,17
C,179
C,58
C,188
L,S,240,10041,28
C,9
L,B,242,10035,22
L,S,243,10025,8
L,B,244,10031,3
C,243
L,B,246,10035,4
C,43
L,S,248,10030,18
L,B,249,10030,23
L,B,250,10025,44
L,S,251,10032,27
L,B,252,10031,4
L,B,253,10028,28
L,B,254,10036,9
L,S,255,10040,42
L,S,256,10039,2
L,S,257,10028,5
M,S,258,14
L,S,259,10029,10
L,B,260,10027,10
L,S,261,10028,1
C,251
L,B,263,10050,50
L,B,264,10035,30
C,260
L,S,266,10039,3
L,S,267,10040,37
L,B,268,10048,16
L,S,269,10040,3
L,S,270,10042,17
L,S,271,10049,25
L,S,272,10037,45
L,S,273,10050,12
L,B,274,10037,49
C,193
L,B,276,10052,46
C,112
L,S,278,10028,48
L,S,279,10032,29
L,S,280,10025,9
C,134
L,S,282,10045,43
L,B,283,10039,10
L,S,284,10048,46
L,B,285,10043,26
L,B,286,10041,22
L,S,287,10043,11
L,B,288,10036,34
M,S,289,40
L,B,290,10037,50
C,212
L,S,292,10037,16
C,285
L,S,294,10032,39
L,S,295,10036,33
L,S,296,10048,25
L,B,297,10033,12
L,S,298,10036,10
L,B,299,10038,9
L,B,300,10033,35
M,B,301,56
L,S,302,10038,5
L,B,303,10038,26
L,B,304,10047,5
L,B,305,10040,43
L,B,306,10038,10
L,B,307,10043,20
L,B,308,10031,40
L,B,309,10043,4
M,B,310,60
L,B,311,10048,14
L,B,312,10038,14
L,S,313,10044,1
C,65
L,B,315,10050,15
C,53
L,S,317,10041,50
L,B,318,10033,43
M,B,319,49
L,B,320,10041,16
C,251
L,S,322,10025,12
L,S,323,10034,24
L,S,324,10048,5
L,B,325,10037,19
C,165
L,S,327,10037,6
L,S,328,10035,31
L,S,329,10034,2
L,S,330,10042,18
L,S,331,10032,24
L,S,332,10044,37
C,220
L,S,334,10037,41
L,B,335,10048,22
L,S,336,10028,21
M,S,337,10
C,209
L,B,339,10043,3
C,163
L,B,341,10038,37
C,114
L,B,343,10051,14
L,B,344,10048,33
L,S,345,10046,21
L,S,346,10049,3
L,S,347,10063,48
L,B,348,10039,45
L,S,349,10047,8
C,336
L,B,351,10033,4
L,B,352,10031,41
C,325
M,S,354,3
L,S,355,10039,12
L,B,356,10044,24
L,S,357,10038,39
M,S,358,60
L,B,359,10035,43
L,S,360,10043,28
L,B,361,10044,32
L,S,362,10040,31
L,S,363,10047,11
L,S,364,10039,49
L,B,365,10043,30
L,B,366,10035,14
L,B,367,10044,28
L,B,368,10046,1
L,S,369,10042,20
L,S,370,10042,14
C,81
L,S,372,10053,39
L,S,373,10055,45
L,S,374,10044,19
L,S,375,10035,5
L,B,376,10037,16
L,B,377,10042,47
L,S,378,10054,29
M,B,379,24
L,S,380,10046,32
L,B,381,10054,18
C,206
L,B,383,10052,39
L,S,384,10054,15
C,344
L,B,386,10045,5
C,39
L,S,388,10045,22
L,S,389,10045,14
M,B,390,36
L,B,391,10040,36
L,B,392,10032,8
L,S,393,10046,12
L,B,394,10046,21
M,S,395,10
C,190
C,59
M,B,398,12
C,35
L,B,400,10042,46
L,S,401,10036,3
L,B,402,10053,43
L,S,403,10050,28
L,B,404,10050,8
C,290
L,S,406,10047,49
L,B,407,10053,2
C,113
L,S,409,10063,47
M,S,410,10
M,S,411,17
L,B,412,10040,28
L,S,413,10045,10
L,S,414,10038,47
L,S,415,10040,33
L,S,416,10033,42
M,B,417,18
L,S,418,10031,16
L,B,419,10041,45
C,63
L,S,421,10041,10
L,B,422,10056,39
L,S,423,10040,38
L,S,424,10035,18
L,B,425,10039,14
M,B,426,4
C,154
L,B,428,10051,22
L,S,429,10045,46
M,S,430,36
L,S,431,10032,5
L,S,432,10040,43
L,S,433,10032,5
C,214
L,S,435,10033,21
L,B,436,10037,19
L,B,437,10030,28
M,B,438,42
L,S,439,10030,10
C,236
L,S,441,10032,26
M,B,442,45
C,432
C,44
L,B,445,10044,11
L,B,446,10038,36
L,S,447,10040,47
L,B,448,10033,42
L,S,449,10025,11
L,S,450,10043,37
L,B,451,10037,40
L,B,452,10036,26
C,175
L,B,454,10032,34
L,S,455,10050,30
L,B,456,10052,14
L,S,457,10030,22
L,S,458,10033,29
L,S,459,10035,6
C,360
C,266
L,S,462,10032,29
L,S,463,10036,49
L,B,464,10033,43
L,S,465,10035,21
L,S,466,10027,27
L,B,467,10029,35
L,S,468,10040,10
L,S,469,10028,14
L,B,470,10038,10
L,S,471,10030,1
L,B,472,10037,25
L,B,473,10038,32
L,B,474,10042,32
L,S,475,10036,38
L,S,476,10035,35
M,S,477,55
L,B,478,10026,40
L,S,479,10033,43
M,S,480,19
L,S,481,10039,43
C,441
L,S,483,10032,40
L,S,484,10028,7
C,232
L,S,486,10044,12
M,B,487,35
L,S,488,10039,14
M,S,489,11
C,389
C,92
L,S,492,10026,23
L,S,493,10024,32
L,B,494,10036,14
L,B,495,10033,23
L,B,496,10031,14
L,B,497,10031,20
L,S,498,10034,50
L,B,499,10027,46
L,S,500,10027,42
L,B,501,10032,24
L,B,502,10025,43
L,S,503,10035,7
M,S,504,34
C,186
C,153
L,B,507,10036,4
L,S,508,10034,24
C,79
L,B,510,10017,9
L,B,511,10029,31
L,S,512,10027,39
C,360
L,B,514,10032,35
L,S,515,10020,29
C,394
L,B,517,10018,23
L,B,518,10029,33
L,B,519,10036,32
C,285
L,S,521,10032,31
M,S,522,56
L,S,523,10030,35
L,B,524,10033,38
L,S,525,10022,49
L,S,526,10027,41
L,B,527,10029,32
L,B,528,10023,20
C,94
L,B,530,10039,37
L,B,531,10022,18
L,S,532,10026,1
L,S,533,10023,7
L,S,534,10024,45
L,B,535,10038,44
M,B,536,8
C,355
L,B,538,10035,10
L,B,539,10035,28
L,B,540,10023,16
L,B,541,10027,19
