EntryId,Account,PostDate,DocRef,AmountMinor,DrCr,Currency
15,DELTA-USD-03,20260326,REF1396,5339692,DR,USD
12,DELTA-USD-03,20260213,REF1372,6702225,CR,USD
2,DELTA-USD-03,20260317,REF1331,4083174,DR,USD
18,DELTA-USD-03,20260323,REF1404,147744,DR,USD
8,DELTA-USD-03,20260401,REF1354,6930741,DR,USD
7,DELTA-USD-03,20260118,REF1353,7509839,DR,USD
1,DELTA-USD-03,20260206,REF1324,2713022,CR,USD
14,DELTA-USD-03,20260220,REF1378,52722,DR,CHF
6,DELTA-USD-03,20260316,REF1349,8838197,DR,USD
11,DELTA-USD-03,20260328,REF1368,5017026,CR,USD
17,DELTA-USD-03,20260403,REF1401,2340098,DR,USD
16,DELTA-USD-03,20260330,REF1400,8311499,DR,USD
4,DELTA-USD-03,20260228,REF1338,2743673,CR,USD
5,DELTA-USD-03,20260210,REF1343,321515,CR,USD
10,DELTA-USD-03,20260217,REF1363,8962673,CR,USD
9,DELTA-USD-03,20260305,REF1359,4595339,CR,USD
13,DELTA-USD-03,20260315,REF1374,4007189,DR,USD
3,DELTA-USD-03,20260405,REF1334,2206769,DR,USD
