TxnId|ValueDate|Amount|CUR|Ref
19|2026/02/20|511.86|USD|REF1378
11|2026/03/28|-50170.26|USD|REF1368
12|2026/02/09|-67022.25|USD|REF1372
17|2026/03/09|-50.31|USD|REF1390
4|2026/02/27|-27436.73|USD|REF1338
13|2026/03/12|40071.89|USD|REF1374
3|2026/04/02|22067.69|USD|REF1334
10|2026/02/17|-89626.73|USD|REF1363
7|2026/01/14|75098.39|USD|REF1353
2|2026/03/15|40831.74|USD|REF1331
14|2026/02/20|511.86|USD|REF1378
20|2026/02/17|-89626.73|USD|REF1363
1|2026/02/05|-27130.22|USD|REF1324
18|2026/03/23|1377.44|USD|REF1404
8|2026/04/01|69307.41|USD|REF1354
6|2026/03/15|88381.97|USD|REF1349
16|2026/04/04|-60.95|USD|REF1384
9|2026/03/02|-45953.39|USD|REF1359
15|2026/02/25|-24.79|USD|REF1383
5|2026/02/10|-3215.15|USD|REF1343
