EntryId,Account,PostDate,DocRef,AmountMinor,DrCr,Currency
17,LONDON-GBP-02,20260314,REF1083,8509456,DR,GBP
11,LONDON-GBP-02,20260406,REF1061,5643370,CR,GBP
13,LONDON-GBP-02,20260130,REF1069,324982,DR,GBP
6,LONDON-GBP-02,20260402,REF1046,1965318,DR,GBP
23,LONDON-GBP-02,20260408,REF1120,2857372,DR,GBP
24,LONDON-GBP-02,20260111,REF1124,6503487,DR,GBP
8,LONDON-GBP-02,20260204,REF1052,421299,DR,GBP
22,LONDON-GBP-02,20260407,REF1114,2315419,DR,GBP
19,LONDON-GBP-02,20260317,REF1090,8731957,DR,CHF
18,LONDON-GBP-02,20260207,REF1089,6281028,DR,GBP
14,LONDON-GBP-02,20260111,REF1071,4657374,DR,GBP
15,LONDON-GBP-02,20260124,REF1076,3634550,DR,GBP
12,LONDON-GBP-02,20260304,REF1065,5946601,CR,GBP
7,LONDON-GBP-02,20260214,REF1049,6746777,DR,GBP
9,LONDON-GBP-02,20260404,REF1055,2697622,CR,GBP
21,LONDON-GBP-02,20260328,REF1111,1620377,DR,GBP
10,LONDON-GBP-02,20260314,REF1058,8757731,DR,GBP
20,LONDON-GBP-02,20260114,REF1097,2158020,DR,CHF
16,LONDON-GBP-02,20260128,REF1077,3065962,CR,GBP
