id,date,description,amount,currency,ref
17,2026-01-07,PAYMENT,"46,573.74",GBP,REF1071
9,2026-03-31,PAYMENT,"19,653.18",GBP,REF1046
27,2026-03-13,PAYMENT,"85,094.56",GBP,REF1083
23,2026-01-14,PAYMENT,"20,951.65",GBP,REF1097
15,2026-03-02,PAYMENT,"(59,466.01)",GBP,REF1065
16,2026-01-26,PAYMENT,"3,249.82",GBP,REF1069
12,2026-04-01,PAYMENT,"(26,976.22)",GBP,REF1055
18,2026-01-21,PAYMENT,"36,345.50",GBP,REF1076
24,2026-02-13,PAYMENT,(22.88),GBP,REF1100
20,2026-03-13,PAYMENT,"85,094.56",GBP,REF1083
22,2026-03-17,PAYMENT,"84,776.28",GBP,REF1090
28,2026-02-04,PAYMENT,"62,810.28",GBP,REF1089
19,2026-01-27,PAYMENT,"(30,659.62)",GBP,REF1077
13,2026-03-14,PAYMENT,"87,577.31",GBP,REF1058
21,2026-02-04,PAYMENT,"62,810.28",GBP,REF1089
11,2026-01-31,PAYMENT,"4,212.99",GBP,REF1052
10,2026-02-13,PAYMENT,"67,467.77",GBP,REF1049
26,2026-01-11,PAYMENT,"64,934.87",GBP,REF1124
14,2026-04-02,PAYMENT,"(56,433.70)",GBP,REF1061
25,2026-03-16,PAYMENT,(26.21),GBP,REF1106
