EntryId,Account,PostDate,DocRef,AmountMinor,DrCr,Currency
18,NORDIC-EUR-01,20260228,REF1140,5915121,DR,EUR
14,NORDIC-EUR-01,20260206,REF1130,3501046,CR,EUR
24,NORDIC-EUR-01,20260331,REF1163,7103826,DR,EUR
21,NORDIC-EUR-01,20260131,REF1146,540032,DR,CHF
12,NORDIC-EUR-01,20260114,REF1122,1936016,DR,EUR
23,NORDIC-EUR-01,20260410,REF1160,8679745,DR,EUR
11,NORDIC-EUR-01,20260125,REF1119,1371741,CR,EUR
20,NORDIC-EUR-01,20260316,REF1145,6444957,DR,CHF
25,NORDIC-EUR-01,20260130,REF1164,3244346,DR,EUR
19,NORDIC-EUR-01,20260129,REF1144,1352855,CR,EUR
22,NORDIC-EUR-01,20260401,REF1157,8102799,DR,EUR
17,NORDIC-EUR-01,20260123,REF1134,529524,CR,EUR
13,NORDIC-EUR-01,20260328,REF1127,4960009,CR,EUR
10,NORDIC-EUR-01,20260122,REF1118,7921599,DR,EUR
15,NORDIC-EUR-01,20260314,REF1131,6005035,CR,EUR
16,NORDIC-EUR-01,20260214,REF1132,8792201,DR,EUR
9,NORDIC-EUR-01,20260218,REF1112,3351147,CR,EUR
