LineNo;ValueDate;Reference;Amount;Ccy
4;19 Jan 2026;REF1118;79.215,99;EUR
21;22 Jan 2026;REF1119;-13.717,41;EUR
18;14 Feb 2026;REF1152;-41,58;EUR
12;27 Feb 2026;REF1140;59.151,21;EUR
11;19 Jan 2026;REF1134;-5.295,24;EUR
15;31 Jan 2026;REF1146;5.243,03;EUR
19;30 Jan 2026;REF1164;32.343,46;EUR
6;14 Jan 2026;REF1122;19.360,16;EUR
16;22 Mar 2026;REF1150;-23,57;EUR
14;16 Mar 2026;REF1145;62.572,40;EUR
20;19 Jan 2026;REF1134;-5.295,24;EUR
8;02 Feb 2026;REF1130;-35.010,46;EUR
3;16 Feb 2026;REF1112;-33.511,47;EUR
7;24 Mar 2026;REF1127;-49.600,09;EUR
9;14 Mar 2026;REF1131;-60.050,35;EUR
10;11 Feb 2026;REF1132;87.922,01;EUR
13;25 Jan 2026;REF1144;-13.528,55;EUR
5;22 Jan 2026;REF1119;-13.717,41;EUR
17;14 Feb 2026;REF1151;-28,08;EUR
